PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37346595,Citation analysis of computer systems papers,Frachtenberg E.,PeerJ Comput Sci. 2023 May 16;9:e1389. doi: 10.7717/peerj-cs.1389. eCollection 2023.,Frachtenberg E,PeerJ Comput Sci,2023,22/06/2023,PMC10280529,,10.7717/peerj-cs.1389
33834108,Undergraduate data science degrees emphasize computer science and statistics but fall short in ethics training and domain-specific context,"Oliver JC, McNeil T.",PeerJ Comput Sci. 2021 Mar 25;7:e441. doi: 10.7717/peerj-cs.441. eCollection 2021.,Oliver JC,PeerJ Comput Sci,2021,09/04/2021,PMC8022506,,10.7717/peerj-cs.441
39896392,Word embedding for social sciences: an interdisciplinary survey,"Matsui A, Ferrara E.",PeerJ Comput Sci. 2024 Dec 5;10:e2562. doi: 10.7717/peerj-cs.2562. eCollection 2024.,Matsui A,PeerJ Comput Sci,2024,03/02/2025,PMC11784867,,10.7717/peerj-cs.2562
25717308,Cultural stereotypes as gatekeepers: increasing girls' interest in computer science and engineering by diversifying stereotypes,"Cheryan S, Master A, Meltzoff AN.",Front Psychol. 2015 Feb 11;6:49. doi: 10.3389/fpsyg.2015.00049. eCollection 2015.,Cheryan S,Front Psychol,2015,27/02/2015,PMC4323745,,10.3389/fpsyg.2015.00049
20930923,Explaining Underrepresentation: A Theory of Precluded Interest,"Cheryan S, Plaut VC.",Sex Roles. 2010 Oct;63(7-8):475-488. doi: 10.1007/s11199-010-9835-x. Epub 2010 Jul 29.,Cheryan S,Sex Roles,2010,09/10/2010,PMC2937137,,10.1007/s11199-010-9835-x
34961813,A Multi-RNN Research Topic Prediction Model Based on Spatial Attention and Semantic Consistency-Based Scientific Influence Modeling,"Xu M, Du J, Guan Z, Xue Z, Kou F, Shi L, Xu X, Li A.",Comput Intell Neurosci. 2021 Dec 18;2021:1766743. doi: 10.1155/2021/1766743. eCollection 2021.,Xu M,Comput Intell Neurosci,2021,28/12/2021,PMC8710157,,10.1155/2021/1766743
29023441,"Women are underrepresented in computational biology: An analysis of the scholarly literature in biology, computer science and computational biology","Bonham KS, Stefan MI.",PLoS Comput Biol. 2017 Oct 12;13(10):e1005134. doi: 10.1371/journal.pcbi.1005134. eCollection 2017 Oct.,Bonham KS,PLoS Comput Biol,2017,13/10/2017,PMC5638210,,10.1371/journal.pcbi.1005134
35494825,Research artifacts and citations in computer systems papers,Frachtenberg E.,PeerJ Comput Sci. 2022 Feb 7;8:e887. doi: 10.7717/peerj-cs.887. eCollection 2022.,Frachtenberg E,PeerJ Comput Sci,2022,02/05/2022,PMC9044204,,10.7717/peerj-cs.887
35737658,Quantifying the rise and fall of scientific fields,"Singh CK, Barme E, Ward R, Tupikina L, Santolini M.",PLoS One. 2022 Jun 23;17(6):e0270131. doi: 10.1371/journal.pone.0270131. eCollection 2022.,Singh CK,PLoS One,2022,23/06/2022,PMC9223313,,10.1371/journal.pone.0270131
36743778,An embedding approach for analyzing the evolution of research topics with a case study on computer science subdomains,"Taher Harikandeh SR, Aliakbary S, Taheri S.",Scientometrics. 2023;128(3):1567-1582. doi: 10.1007/s11192-023-04642-4. Epub 2023 Jan 31.,Taher Harikandeh SR,Scientometrics,2023,06/02/2023,PMC9886542,,10.1007/s11192-023-04642-4
34901429,"Deep learning-a first meta-survey of selected reviews across scientific disciplines, their commonalities, challenges and research impact","Egger J, Pepe A, Gsaxner C, Jin Y, Li J, Kern R.",PeerJ Comput Sci. 2021 Nov 17;7:e773. doi: 10.7717/peerj-cs.773. eCollection 2021.,Egger J,PeerJ Comput Sci,2021,13/12/2021,PMC8627237,,10.7717/peerj-cs.773
33693364,ScholarCitation: Chinese Scholar Citation Analysis Based on ScholarSpace in the Field of Computer Science,"Su H, Fan Z, Cao C, Zhang Y, Wang S, Meng X.",Front Big Data. 2019 Nov 26;2:41. doi: 10.3389/fdata.2019.00041. eCollection 2019.,Su H,Front Big Data,2019,11/03/2021,PMC7931932,,10.3389/fdata.2019.00041
34483710,"""Where will I belong more?"": The role of belonging comparisons between STEM fields in high school girls' STEM interest","Veldman J, Van Laar C, Thoman DB, Van Soom C.",Soc Psychol Educ. 2021;24(5):1363-1387. doi: 10.1007/s11218-021-09663-6. Epub 2021 Aug 30.,Veldman J,Soc Psychol Educ,2021,06/09/2021,PMC8403818,,10.1007/s11218-021-09663-6
40989489,A survey on surface reconstruction based on 3D Gaussian splatting,"Xu Z, Chen G, Li F, Chen L, Cheng Y.",PeerJ Comput Sci. 2025 Aug 5;11:e3034. doi: 10.7717/peerj-cs.3034. eCollection 2025.,Xu Z,PeerJ Comput Sci,2025,24/09/2025,PMC12453780,,10.7717/peerj-cs.3034
30157278,Automatically assembling a full census of an academic field,"Morgan AC, Way SF, Clauset A.",PLoS One. 2018 Aug 29;13(8):e0202223. doi: 10.1371/journal.pone.0202223. eCollection 2018.,Morgan AC,PLoS One,2018,30/08/2018,PMC6114776,,10.1371/journal.pone.0202223
